mpg,cylinder,displacement,weight,acceleration,class
18,8,307,3504,12,70
15,8,350,3693,11.5,70
18,8,318,3436,11,70
16,8,304,3433,12,70
17,8,302,3449,10.5,70
15,8,429,4341,10,70
14,8,454,4354,9,70
14,8,440,4312,8.5,70
14,8,455,4425,10,70
15,8,390,3850,8.5,70
15,8,383,3563,10,70
14,8,340,3609,8,70
15,8,400,3761,9.5,70
14,8,455,3086,10,70
24,4,113,2372,15,70
22,6,198,2833,15.5,70
18,6,199,2774,15.5,70
21,6,200,2587,16,70
27,4,97,2130,14.5,70
26,4,97,1835,20.5,70
19,6,232,3211,17,75
23,4,115,2694,15,75
23,4,120,2957,17,75
22,4,121,2945,14.5,75
25,4,121,2671,13.5,75
33,4,91,1795,17.5,75
28,4,107,2464,15.5,76
25,4,116,2220,16.9,76
25,4,140,2572,14.9,76
26,4,98,2255,17.7,76
27,4,101,2202,15.3,76
17.5,8,305,4215,13,76
16,8,318,4190,13,76
15.5,8,304,3962,13.9,76
14.5,8,351,4215,12.8,76
22,6,225,3233,15.4,76
22,6,250,3353,14.5,76
24,6,200,3012,17.6,76
22.5,6,232,3085,17.6,76
29,4,85,2035,22.2,76
24.5,4,98,2164,22.1,76
29,4,90,1937,14.2,76
33,4,91,1795,17.4,76
20,6,225,3651,17.7,76
18,6,250,3574,21,76
18.5,6,250,3645,16.2,76
17.5,6,258,3193,17.8,76
29.5,4,97,1825,12.2,76
32,4,85,1990,17,76
28,4,97,2155,16.4,76
26.5,4,140,2565,13.6,76
20,4,130,3150,15.7,76
13,8,318,3940,13.2,76
19,4,120,3270,21.9,76
19,6,156,2930,15.5,76
16.5,6,168,3820,16.7,76
16.5,8,350,4380,12.1,76
13,8,350,4055,12,76
13,8,302,3870,15,76
13,8,318,3755,14,76
31.5,4,98,2045,18.5,77
30,4,111,2155,14.8,77
36,4,79,1825,18.6,77
25.5,4,122,2300,15.5,77
33.5,4,85,1945,16.8,77
17.5,8,305,3880,12.5,77
17,8,260,4060,19,77
15.5,8,318,4140,13.7,77
15,8,302,4295,14.9,77
17.5,6,250,3520,16.4,77
20.5,6,231,3425,16.9,77
19,6,225,3630,17.7,77
18.5,6,250,3525,19,77
16,8,400,4220,11.1,77
15.5,8,350,4165,11.4,77
15.5,8,400,4325,12.2,77
16,8,351,4335,14.5,77
29,4,97,1940,14.5,77
24.5,4,151,2740,16,77
26,4,97,2265,18.2,77
25.5,4,140,2755,15.8,77
30.5,4,98,2051,17,77
33.5,4,98,2075,15.9,77
30,4,97,1985,16.4,77
30.5,4,97,2190,14.1,77
22,6,146,2815,14.5,77
21.5,4,121,2600,12.8,77
21.5,3,80,2720,13.5,77
43.1,4,90,1985,21.5,78
36.1,4,98,1800,14.4,78
32.8,4,78,1985,19.4,78
39.4,4,85,2070,18.6,78
36.1,4,91,1800,16.4,78
19.9,8,260,3365,15.5,78
19.4,8,318,3735,13.2,78
20.2,8,302,3570,12.8,78
19.2,6,231,3535,19.2,78
20.5,6,200,3155,18.2,78
20.2,6,200,2965,15.8,78
25.1,4,140,2720,15.4,78
20.5,6,225,3430,17.2,78
19.4,6,232,3210,17.2,78
20.6,6,231,3380,15.8,78
20.8,6,200,3070,16.7,78
18.6,6,225,3620,18.7,78
18.1,6,258,3410,15.1,78
19.2,8,305,3425,13.2,78
17.7,6,231,3445,13.4,78
18.1,8,302,3205,11.2,78
17.5,8,318,4080,13.7,78
30,4,98,2155,16.5,78
27.5,4,134,2560,14.2,78
27.2,4,119,2300,14.7,78
30.9,4,105,2230,14.5,78
21.1,4,134,2515,14.8,78
23.2,4,156,2745,16.7,78
23.8,4,151,2855,17.6,78
23.9,4,119,2405,14.9,78
20.3,5,131,2830,15.9,78
17,6,163,3140,13.6,78
21.6,4,121,2795,15.7,78
16.2,6,163,3410,15.8,78
31.5,4,89,1990,14.9,78
29.5,4,98,2135,16.6,78
21.5,6,231,3245,15.4,79
19.8,6,200,2990,18.2,79
22.3,4,140,2890,17.3,79
20.2,6,232,3265,18.2,79
20.6,6,225,3360,16.6,79
17,8,305,3840,15.4,79
17.6,8,302,3725,13.4,79
16.5,8,351,3955,13.2,79
18.2,8,318,3830,15.2,79
16.9,8,350,4360,14.9,79
15.5,8,351,4054,14.3,79
19.2,8,267,3605,15,79
18.5,8,360,3940,13,79
31.9,4,89,1925,14,79
34.1,4,86,1975,15.2,79
35.7,4,98,1915,14.4,79
27.4,4,121,2670,15,79
25.4,5,183,3530,20.1,79
23,8,350,3900,17.4,79
27.2,4,141,3190,24.8,79
23.9,8,260,3420,22.2,79
34.2,4,105,2200,13.2,79
34.5,4,105,2150,14.9,79
31.8,4,85,2020,19.2,79
37.3,4,91,2130,14.7,79
28.4,4,151,2670,16,79
28.8,6,173,2595,11.3,79
26.8,6,173,2700,12.9,79
33.5,4,151,2556,13.2,79
41.5,4,98,2144,14.7,80
38.1,4,89,1968,18.8,80
32.1,4,98,2120,15.5,80
37.2,4,86,2019,16.4,80
28,4,151,2678,16.5,80
26.4,4,140,2870,18.1,80
24.3,4,151,3003,20.1,80
