mpg,cylinders,displacement,weight,acceleration,class
18,8,307,3504,12,70
15,8,350,3693,11.5,70
18,8,318,3436,11,70
16,8,304,3433,12,70
17,8,302,3449,10.5,70
15,8,429,4341,10,70
14,8,454,4354,9,70
14,8,440,4312,8.5,70
14,8,455,4425,10,70
15,8,390,3850,8.5,70
15,8,383,3563,10,70
14,8,340,3609,8,70
15,8,400,3761,9.5,70
14,8,455,3086,10,70
24,4,113,2372,15,70
22,6,198,2833,15.5,70
18,6,199,2774,15.5,70
21,6,200,2587,16,70
27,4,97,2130,14.5,70
26,4,97,1835,20.5,70
25,4,110,2672,17.5,70
24,4,107,2430,14.5,70
25,4,104,2375,17.5,70
26,4,121,2234,12.5,70
21,6,199,2648,15,70
10,8,360,4615,14,70
10,8,307,4376,15,70
11,8,318,4382,13.5,70
9,8,304,4732,18.5,70
27,4,97,2130,14.5,71
28,4,140,2264,15.5,71
25,4,113,2228,14,71
25,4,98,2046,19,71
19,6,232,2634,13,71
16,6,225,3439,15.5,71
17,6,250,3329,15.5,71
19,6,250,3302,15.5,71
18,6,232,3288,15.5,71
14,8,350,4209,12,71
14,8,400,4464,11.5,71
14,8,351,4154,13.5,71
14,8,318,4096,13,71
12,8,383,4955,11.5,71
13,8,400,4746,12,71
13,8,400,5140,12,71
18,6,258,2962,13.5,71
22,4,140,2408,19,71
19,6,250,3282,15,71
18,6,250,3139,14.5,71
23,4,122,2220,14,71
28,4,116,2123,14,71
30,4,79,2074,19.5,71
30,4,88,2065,14.5,71
31,4,71,1773,19,71
35,4,72,1613,18,71
27,4,97,1834,19,71
26,4,91,1955,20.5,71
24,4,113,2278,15.5,72
25,4,97.5,2126,17,72
23,4,97,2254,23.5,72
20,4,140,2408,19.5,72
21,4,122,2226,16.5,72
13,8,350,4274,12,72
14,8,400,4385,12,72
15,8,318,4135,13.5,72
14,8,351,4129,13,72
17,8,304,3672,11.5,72
11,8,429,4633,11,72
13,8,350,4502,13.5,72
12,8,350,4456,13.5,72
13,8,400,4422,12.5,72
19,3,70,2330,13.5,72
15,8,304,3892,12.5,72
13,8,307,4098,14,72
13,8,302,4294,16,72
14,8,318,4077,14,72
18,4,121,2933,14.5,72
22,4,121,2511,18,72
21,4,120,2979,19.5,72
26,4,96,2189,18,72
22,4,122,2395,16,72
28,4,97,2288,17,72
23,4,120,2506,14.5,72
28,4,98,2164,15,72
27,4,97,2100,16.5,72
13,8,350,4100,13,73
14,8,304,3672,11.5,73
13,8,350,3988,13,73
14,8,302,4042,14.5,73
