class,Religious,Nature,Theatre,Shopping,Picnic
2,77,79,69,68,95
2,62,76,76,69,68
2,50,97,87,50,75
2,68,77,95,76,61
2,98,54,59,95,86
3,52,109,93,52,76
3,64,85,82,73,69
3,54,107,92,54,76
3,64,108,64,54,93
3,86,76,74,74,103
3,107,54,64,103,94
3,103,60,63,102,93
3,64,82,82,75,69
3,93,54,74,103,69
3,63,82,81,78,69
3,82,79,75,75,82
5,59,131,103,54,86
5,56,124,108,56,85
4,85,67,111,65,72
5,114,83,65,114,102
4,93,82,79,79,90
4,105,52,75,113,78
5,69,118,74,66,101
4,71,123,64,59,102
5,88,94,81,79,91
5,83,99,89,74,91
5,69,133,74,54,101
5,128,53,74,117,105
5,74,123,69,61,101
5,79,93,118,90,72
4,51,115,110,51,84
5,69,93,93,81,79
4,100,53,86,112,78
4,88,69,108,71,77
4,93,84,75,84,112
4,79,86,110,93,73
4,87,72,112,63,71
5,65,128,79,56,101
4,91,66,110,69,71
4,93,79,74,92,90
5,59,118,108,63,85
5,65,103,90,80,79
4,87,89,76,89,111
4,93,85,79,85,91
5,93,94,79,79,113
5,74,130,74,53,101
6,113,64,89,141,86
6,118,64,99,134,88
8,89,143,84,64,118
6,98,89,133,69,79
6,98,104,109,91,101
8,84,143,74,74,133
8,123,64,93,148,90
6,84,113,141,98,81
6,59,148,125,59,97
8,143,69,79,143,123
8,94,133,84,125,97
8,84,108,113,93,90
8,84,138,89,69,123
6,84,108,133,98,81
6,99,84,138,69,83
8,113,94,84,109,128
6,148,64,74,138,128
8,84,138,113,64,114
6,98,79,138,79,79
8,133,84,84,133,118
6,79,113,106,87,88
8,113,104,84,94,148
6,69,138,113,79,99
6,83,103,98,99,90
8,69,143,123,71,97
8,118,94,99,99,143
6,74,133,99,74,113
12,115,94,163,109,92
12,123,124,109,114,168
12,94,133,157,133,95
12,104,123,163,128,89
14,99,198,89,74,153
14,113,148,99,148,110
14,94,163,99,94,153
12,133,104,119,129,133
14,163,69,94,188,143
